,iteration,metric,value
0,0,mse,8.36435052610813
1,0,$\mathcal{HU}_p$,-10.102609634399414
2,100,mse,3.593627733680434
3,100,$\mathcal{HU}_p$,-0.2255551815032959
4,200,mse,3.588942453991072
5,200,$\mathcal{HU}_p$,-0.21017123758792877
6,300,mse,3.583165237064437
7,300,$\mathcal{HU}_p$,-0.20856252312660217
8,400,mse,3.5764416971756257
9,400,$\mathcal{HU}_p$,-0.20762021839618683
10,500,mse,3.56881477277487
11,500,$\mathcal{HU}_p$,-0.20775106549263
12,600,mse,3.560188024918099
13,600,$\mathcal{HU}_p$,-0.20931318402290344
14,700,mse,3.5503515134751638
15,700,$\mathcal{HU}_p$,-0.21324187517166138
16,800,mse,3.5389917005754574
17,800,$\mathcal{HU}_p$,-0.22172927856445312
18,900,mse,3.525695348522473
19,900,$\mathcal{HU}_p$,-0.23228038847446442
20,1000,mse,3.5099546989573454
21,1000,$\mathcal{HU}_p$,-0.24521152675151825
22,1100,mse,3.491181898908441
23,1100,$\mathcal{HU}_p$,-0.2608378529548645
24,1200,mse,3.468742459925605
25,1200,$\mathcal{HU}_p$,-0.2794593870639801
26,1300,mse,3.4420211732134782
27,1300,$\mathcal{HU}_p$,-0.30133265256881714
28,1400,mse,3.410530089337983
29,1400,$\mathcal{HU}_p$,-0.3266252279281616
30,1500,mse,3.374051837957821
31,1500,$\mathcal{HU}_p$,-0.3553448021411896
32,1600,mse,3.3328005085822374
33,1600,$\mathcal{HU}_p$,-0.3872458338737488
34,1700,mse,3.287537043366828
35,1700,$\mathcal{HU}_p$,-0.42174285650253296
36,1800,mse,3.239567748614357
37,1800,$\mathcal{HU}_p$,-0.45787668228149414
38,1900,mse,3.1905619298073544
39,1900,$\mathcal{HU}_p$,-0.4943667948246002
40,2000,mse,3.1422087319323264
41,2000,$\mathcal{HU}_p$,-0.5297568440437317
42,2100,mse,3.0958415703972877
43,2100,$\mathcal{HU}_p$,-0.5626266002655029
44,2200,mse,3.052213724464411
45,2200,$\mathcal{HU}_p$,-0.5918071866035461
46,2300,mse,3.011534309627108
47,2300,$\mathcal{HU}_p$,-0.6165221333503723
48,2400,mse,2.9737032984014578
49,2400,$\mathcal{HU}_p$,-0.6364094614982605
50,2500,mse,2.938568182667939
51,2500,$\mathcal{HU}_p$,-0.6514152884483337
52,2600,mse,2.9060658033070097
53,2600,$\mathcal{HU}_p$,-0.6616445779800415
54,2700,mse,2.87623305725283
55,2700,$\mathcal{HU}_p$,-0.667232871055603
56,2800,mse,2.84915140998796
57,2800,$\mathcal{HU}_p$,-0.6837133169174194
58,2900,mse,2.824885885903794
59,2900,$\mathcal{HU}_p$,-0.7053242921829224
60,3000,mse,2.803442568847367
61,3000,$\mathcal{HU}_p$,-0.7245520353317261
62,3100,mse,2.784750871519561
63,3100,$\mathcal{HU}_p$,-0.7409791946411133
64,3200,mse,2.7686633084837373
65,3200,$\mathcal{HU}_p$,-0.7544441819190979
66,3300,mse,2.7549704787765874
67,3300,$\mathcal{HU}_p$,-0.764874279499054
68,3400,mse,2.7434240014108666
69,3400,$\mathcal{HU}_p$,-0.7723344564437866
70,3500,mse,2.733760347999206
71,3500,$\mathcal{HU}_p$,-0.7878775000572205
72,3600,mse,2.7257220297954183
73,3600,$\mathcal{HU}_p$,-0.8009300231933594
74,3700,mse,2.7190713280454726
75,3700,$\mathcal{HU}_p$,-0.8116070032119751
76,3800,mse,2.7135969468950494
77,3800,$\mathcal{HU}_p$,-0.8200762867927551
78,3900,mse,2.709115052741879
79,3900,$\mathcal{HU}_p$,-0.8265457153320312
80,4000,mse,2.705566071291636
